TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_1,AUX_2,AUX_3,AUX_4,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,Optics1,Optics2,Optics3,Optics4,Optics5,Optics6,Optics7,Optics8,Optics9,Optics10,Optics11,Optics12,Optics13,Optics14,Optics15,Optics16,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-10-24 13:24:02.639,0.25624114,0.21300083,0.027284296,0.1765799,0.16517809,-0.1368479,-0.08915037,0.47124717,0.29284167,0.20493484,0.32243413,0.48459983,0.5203174,0.38737383,0.40289366,0.8287155,0.2521633,0.35849613,0.380429,0.5139752,734.60297,726.9029,735.57654,737.5237,870.0177,879.6649,863.1142,1450.0,-0.0810546875,-0.0439453125,1.01904296875,-1.622467041015625,0.9271240234375,-0.157012939453125,0.9196786114488712,0.7914741434804378,0.7473762010347376,0.5910955344157547,12.026256586319528,11.096232506020074,13.239178885630498,11.072672913239396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.91487,1.0,1.0,1.0,1.0,1.0,10.29,
2025-10-24 13:24:03.149,0.5179641,0.2440593,-0.016895989,0.24752168,0.38595125,-0.19482379,-0.08521033,0.55603725,0.31475973,0.16828302,0.041893758,0.4473021,0.5309461,0.2324654,0.31007224,0.9024586,0.21401304,0.38657826,0.25421637,0.5524639,671.5864,755.2249,720.4419,641.93677,862.9372,860.1935,853.73254,1450.0,-0.06781005859375,-0.0233154296875,1.0252685546875,2.564544677734375,-10.639495849609377,-16.546173095703125,0.9264535202536776,0.7993476861454831,0.7566230360250816,0.6001287461554967,12.06071096488091,11.129344109863386,13.293500226497866,11.12897789857664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.643135,1.0,1.0,1.0,1.0,1.0,10.29,
2025-10-24 13:24:03.661,0.6093067,0.43706462,0.24210057,0.28521857,0.47821882,-0.13289355,-0.114384726,0.5070717,0.23027246,-0.03925526,-0.07954718,0.39380327,0.5136426,0.15249582,0.2327354,0.9193155,0.115335934,0.37418446,0.22378226,0.586936,721.681,729.29254,745.66626,719.3798,825.23346,831.3404,813.63916,1400.1709,0.02008056640625,-0.01605224609375,1.072021484375,1.831817626953125,-5.5029296875,5.06927490234375,0.909180554562144,0.7926948477695921,0.7325446439215125,0.5887761962663615,12.002635958324392,11.086497389314069,13.210309229192,11.076121402856256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.40525,1.0,1.0,1.0,1.0,1.0,10.28,
2025-10-24 13:24:04.169,0.72916317,0.48449835,0.43984157,0.37826732,0.51108754,-0.089711785,-4.1422387e-05,0.43513438,0.19141987,-0.3740547,-0.06332705,0.28926024,0.53494316,0.15726104,0.17090873,0.9414855,0.2134223,0.36626977,0.20291756,0.6255965,743.27655,736.01904,740.00183,732.8328,856.0337,860.3705,852.759,1450.0,-0.00872802734375,-0.0380859375,1.02484130859375,-2.8411865234375,1.1065673828125,-0.82244873046875,0.9034737620103472,0.7926338125551343,0.7247321364709248,0.5867925517964857,11.982799513625634,11.057108933552678,13.18702429487638,11.053446820685217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.43581,1.0,1.0,1.0,1.0,1.0,10.28,
2025-10-24 13:24:04.681,0.72672874,0.42506033,0.397066,0.4017844,0.4959726,-0.15188876,-0.0045957807,0.39376864,0.1629262,-0.33462775,-0.062544346,0.26239693,0.52938163,0.1458108,0.0930753,0.92979896,0.20281321,0.269932,0.15453847,0.58083797,732.47876,730.3546,751.4191,749.0295,830.5439,844.7049,840.7221,1397.6927,-0.02001953125,-0.0386962890625,1.015380859375,-1.801910400390625,-0.6280517578125,0.740203857421875,0.8966378179910831,0.7927253653768209,0.7213141644612927,0.5886846434446749,12.009166726271369,11.06937701165868,13.234387621295568,11.08884724507069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.764694,1.0,1.0,1.0,1.0,1.0,10.27,
2025-10-24 13:24:05.194,0.72672874,-0.38551134,0.2691952,0.31042868,0.4959726,-0.3691558,-0.068830535,-0.14095517,0.1629262,-0.2462682,0.09451284,0.42860907,0.52938163,0.20695727,0.018610984,0.5583057,0.20281321,0.39016545,0.17383385,0.35334116,727.61096,729.6466,738.85126,731.1512,831.51746,838.86346,824.4369,1397.4272,0.00079345703125,-0.03631591796875,1.0147705078125,-0.231781005859375,-1.734619140625,1.36077880859375,0.8936470924826551,0.7936714112009156,0.7143256324058842,0.5857854707579334,11.978435495791908,11.040110626326204,13.184125122189638,11.047221228810528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.84598,1.0,1.0,1.0,1.0,1.0,10.27,
2025-10-24 13:24:05.708,0.66105086,-0.35738617,0.0065636155,0.5653176,0.5556401,-0.29710296,-0.20616159,-0.15586469,0.7029782,-0.11367799,0.19990093,0.5225402,0.74419415,0.23479317,0.0357131,0.6441709,0.34904155,0.3257804,0.15908001,0.3089821,739.20526,733.36383,734.4259,733.45233,833.5531,847.8911,823.3748,1450.0,-0.0003662109375,-0.02215576171875,1.02276611328125,-0.10467529296875,-0.007476806640625,1.06170654296875,0.892578976229645,0.7952278091695872,0.7125556111866104,0.5854192594711871,11.976879097823236,11.02976515747562,13.187207400519751,11.041239777793672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.15321,1.0,1.0,1.0,1.0,1.0,10.25,
2025-10-24 13:24:06.219,0.5575855,-0.1942501,-0.028650664,0.5455549,0.6003256,-0.062766574,-0.2162293,0.20726638,0.9199326,-0.017996686,0.13470331,0.79290706,0.8169366,0.27973303,0.018234989,0.5968929,0.36723673,0.27393374,0.18974145,0.3578424,743.09955,730.2661,741.595,745.66626,821.4277,838.95197,822.9323,1397.3387,-0.00592041015625,-0.0107421875,1.01922607421875,-2.385101318359375,-1.30096435546875,-0.186920166015625,0.8929757051236201,0.7959907493503088,0.7142645971914264,0.5854802946856448,12.001293183606323,11.033885034451515,13.21027871158477,11.041209260186443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.90443,1.0,1.0,1.0,1.0,1.0,10.25,
2025-10-24 13:24:06.731,0.4646743,0.037767306,-0.25080946,0.4673783,0.5912791,0.05425281,-0.2709033,0.33562794,0.96781766,0.032918226,0.06866525,0.78514045,0.7778432,0.22056895,0.17995912,0.61091346,0.33354667,0.16372664,0.21852267,0.33372608,717.96375,733.8949,740.44434,718.8488,829.7473,829.8358,823.9059,1398.2238,-0.01397705078125,-0.03350830078125,1.0111083984375,-1.338348388671875,-1.0467529296875,0.052337646484375,0.8965462651693965,0.7974861121045228,0.7156989247311828,0.5831304389290227,12.002269747037646,11.02714064325394,13.2014286054884,11.015025153184084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.9836,1.0,1.0,1.0,1.0,1.0,10.24,
2025-10-24 13:24:07.236,0.44805855,0.027972177,-0.4031461,0.3397899,0.6192438,0.013414367,-0.24436487,0.44066253,1.0265554,0.17276472,0.035247,0.79902357,0.75375473,0.26919788,0.22740111,0.63565457,0.3409364,0.22656491,0.2935991,0.31101465,737.3466,728.319,736.01904,751.4191,843.9968,845.3244,835.94275,1450.0,0.00030517578125,-0.01251220703125,1.03076171875,-1.203765869140625,-1.2261962890625,-0.0,0.8919686240850678,0.796143337386453,0.7124640583649238,0.5827031924278188,12.007061011372578,11.035258326776816,13.221142979758245,11.025462174856353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.32477,1.0,1.0,1.0,1.0,1.0,10.23,
2025-10-24 13:24:07.740,0.67091817,-0.060077686,-0.40591842,0.5868938,0.58594525,-0.14991775,-0.09129455,0.38182664,0.9672142,0.20516464,0.08109914,0.7527155,0.7281537,0.29592565,0.2572131,0.7243726,0.34814036,0.28661284,0.28655663,0.24010223,732.7443,731.59375,733.7179,727.87646,831.0749,828.0657,819.6576,1450.0,-0.0054931640625,-0.0205078125,1.0208740234375,-1.323394775390625,0.037384033203125,0.5084228515625,0.8661507283694538,0.7825324845623822,0.6895148177288224,0.5694585508904942,12.003368380897886,11.030009298333452,13.22630045537992,11.021281262666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.74115,1.0,1.0,1.0,1.0,1.0,10.23,
2025-10-24 13:24:08.247,0.9851442,-0.23867059,-0.4483106,1.0310208,0.64145756,-0.34087986,-0.116903186,0.4876455,0.987976,0.29376057,0.076246575,0.82991165,0.6998992,0.32679752,0.20075464,0.7268236,0.34823322,0.28022414,0.2383067,0.1679614,734.69147,730.4431,741.595,744.9582,870.3717,874.1775,854.5291,1450.0,-0.00238037109375,-0.02374267578125,1.0179443359375,-1.936492919921875,0.2392578125,0.64300537109375,0.86224447464416,0.7801826288057602,0.6829840497818468,0.5643926280905038,11.989757528073817,11.025218033998522,13.202466204134184,11.005534177335909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.07923,1.0,1.0,1.0,1.0,1.0,10.23,
2025-10-24 13:24:08.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:08.751,0.92545307,-0.1983462,-0.39740413,1.041233,0.45597348,-0.36020407,-0.15216936,0.47173867,0.9252223,0.25398505,0.027543912,0.8014882,0.5714359,0.27243906,0.12517272,0.64937896,0.35217482,0.24752396,0.11930536,0.21620505,735.134,732.8328,734.69147,723.4511,821.87024,827.4461,810.1874,1450.0,-0.0025634765625,-0.02520751953125,1.015869140625,-0.605621337890625,-0.55328369140625,0.515899658203125,0.8656624466537921,0.7808540161647951,0.6875006556517178,0.5697637269627829,12.028575924468925,11.060374317526168,13.266156450420809,11.063609183892426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3293,1.0,1.0,1.0,1.0,1.0,10.2,
2025-10-24 13:24:08.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:09.253,0.8248334,-0.16313386,-0.39561,1.0044245,0.37601298,-0.19808854,-0.28406057,0.42810974,0.86248195,0.2304792,-0.07137525,0.81089747,0.44647262,0.23530984,0.026477415,0.5719784,0.49894613,0.20116825,0.011316931,0.24966231,734.2489,732.12476,733.2753,733.45233,851.25433,866.743,843.5543,1450.0,0.00830078125,-0.021240234375,1.02362060546875,-1.55517578125,-0.8074951171875,0.25421142578125,0.8646248480080109,0.7800910759840736,0.6797491834155878,0.5651860858784541,12.00135421882078,11.05390458479365,13.221661779081131,11.047343299239444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.28447,1.0,1.0,1.0,1.0,1.0,10.2,
2025-10-24 13:24:09.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:09.767,0.15033533,-0.14507745,-0.23217824,0.3044435,0.4211096,0.084424555,-0.19270821,0.3260678,0.79661185,0.14995708,-0.15726946,0.7544059,0.55132616,0.20420963,-0.008419357,0.55061114,0.5623338,0.1770404,0.06706263,0.38795134,710.4407,696.98773,711.5913,715.043,740.7984,766.1997,729.29254,1450.0,0.0111083984375,-0.0235595703125,1.02227783203125,-1.472930908203125,-2.041168212890625,-0.8074951171875,0.8633431085043988,0.7778022554419093,0.6767889755143885,0.5637517583386977,11.993602746584653,11.062052785923754,13.215375151991989,11.061595021815322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.66466,1.0,1.0,1.0,1.0,1.0,10.2,
2025-10-24 13:24:09.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:10.090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:10.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:10.274,0.2708392,0.0542266,-0.08230096,0.13632704,0.5719274,0.17081699,-0.24521326,0.2859349,0.65671706,0.22087696,-0.07118832,0.759282,0.6425573,0.15570898,0.019384285,0.6143738,0.5293909,0.16429465,0.08951739,0.3707562,734.3374,731.4167,740.8869,739.7363,816.6484,835.58875,820.80817,1403.3572,0.01641845703125,-0.02655029296875,1.01953125,-1.308441162109375,-0.710296630859375,0.657958984375,0.8604744534248862,0.7746589418973369,0.6762396585842692,0.5662542021314642,12.005260472546077,11.07950885725866,13.237134205946164,11.095652671482728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.098206,1.0,1.0,1.0,1.0,1.0,10.19,
2025-10-24 13:24:10.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:10.789,0.21692845,0.12059566,-0.06633774,0.19959176,0.5551845,0.1489561,-0.2818698,0.250102,0.60493815,0.21488428,-0.06809033,0.76388305,0.6894883,0.107427396,-0.016083397,0.6816371,0.2562615,0.16311495,0.12148526,0.2941145,736.10754,732.7443,735.84204,731.68225,821.4277,834.1726,814.17017,1450.0,0.0078125,-0.020751953125,1.0283203125,-0.740203857421875,-0.590667724609375,0.37384033203125,0.8592842667429607,0.7728889206780631,0.6715704646782539,0.5636296879097823,11.97703168585938,11.068675106692416,13.190564337314928,11.072123596309275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.727196,1.0,1.0,1.0,1.0,1.0,10.19,
2025-10-24 13:24:11.299,0.25479636,0.16429988,-0.17152476,0.34393066,0.40669772,-0.027826738,-0.4968227,0.31861213,0.6452569,0.10697422,-0.07218448,0.77282596,0.6770293,0.10753324,0.01783411,0.66206443,-0.00881384,0.14689296,0.104044616,0.155435,725.30975,734.69147,733.8064,730.5317,827.53467,826.20703,810.80695,1408.1365,0.0279541015625,-0.01458740234375,1.030029296875,-1.592559814453125,-1.016845703125,-0.59814453125,0.8576057983453735,0.7684638676298786,0.6693121617433183,0.5618596666905086,11.96821209737024,11.064677300145435,13.188489140023364,11.077494695181556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.76002,1.0,1.0,1.0,1.0,1.0,10.17,
2025-10-24 13:24:11.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:11.823,0.23726001,0.11077141,-0.34061077,0.32776055,0.22704647,-0.18604007,-0.37112385,0.32966605,0.6898852,0.1274671,-0.1711386,0.5716157,0.61274636,0.111207545,-0.0011076919,0.5608563,0.00080691173,0.15360609,0.10393183,0.14367595,726.5489,732.7443,738.58575,726.4603,837.0933,839.21747,817.53345,1410.7031,0.017578125,-0.02294921875,1.032470703125,-1.65985107421875,-0.575714111328125,-0.04486083984375,0.8579720096321197,0.7671210929118089,0.6684271511336815,0.56262260687123,11.976573921750948,11.06345659585628,13.19022864363541,11.075907779605656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.78749,1.0,1.0,1.0,1.0,1.0,10.17,
2025-10-24 13:24:12.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:12.336,0.3368038,0.07563062,-0.17213471,0.30746466,0.49928653,-0.3146722,-0.34605506,0.48776424,0.8024534,0.14294522,-0.18109532,0.72760767,0.5668093,0.14829959,0.065152735,0.5021027,0.013954788,0.122706145,0.07481829,0.15464497,710.3522,693.6245,708.7591,715.39703,802.9299,806.3816,772.12964,1450.0,0.01953125,-0.0189208984375,1.025390625,-1.39068603515625,-0.35888671875,-0.11962890625,0.8533028157261044,0.761933099682903,0.6613470662565863,0.5566716734616026,11.941295567794388,11.024790787497318,13.129223946784922,11.014994635576857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.87468,1.0,1.0,1.0,1.0,1.0,10.16,
2025-10-24 13:24:12.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:12.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:12.853,0.5436996,0.014666649,-0.033110783,0.48002395,0.5573421,-0.27030766,-0.22352688,0.53929114,0.76968753,0.22175974,-0.03361168,0.81541914,0.46944404,0.12507336,0.06983179,0.40983284,0.0023659158,0.103713095,0.027818069,0.12427341,719.4683,699.1119,711.9453,716.7247,359.77844,352.78644,397.83618,829.9243,0.019287109375,-0.0086669921875,1.02581787109375,-2.04864501953125,-0.5084228515625,0.665435791015625,0.8503120902176764,0.7573554585985742,0.658630999213218,0.5535283599170302,11.942089025582336,11.018382089979257,13.132916577259614,11.006175047087714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.26506,1.0,1.0,1.0,1.0,1.0,10.16,
2025-10-24 13:24:12.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:13.356,0.59668267,-0.04676998,0.050500315,0.56789124,0.5585136,-0.17758588,-0.24101172,0.5513442,0.7537242,0.18276498,-0.06957328,0.82446694,0.45127326,0.069898985,0.063198395,0.35585064,-0.027432958,0.060267344,0.010934938,0.075187325,736.19604,731.3282,738.4972,728.85004,898.8708,905.2432,881.70056,1450.0,0.0120849609375,-0.02294921875,1.0203857421875,-1.114044189453125,-1.114044189453125,0.560760498046875,0.8520515938297213,0.7586677157094152,0.659058245714422,0.5543523353122094,11.96555706554133,11.025645280499726,13.158368261688482,11.010722170564812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.771736,1.0,1.0,1.0,1.0,1.0,10.14,
2025-10-24 13:24:13.858,0.6481259,-0.05784654,0.10331444,0.6497103,0.4189808,-0.057520118,-0.18559787,0.48469633,0.5881441,0.13309532,-0.07837412,0.79231673,0.47244823,-0.009744185,0.03523436,0.38247648,0.028983347,0.075071625,0.10753896,0.111927755,748.8525,738.0547,739.11676,743.45355,828.77374,843.8198,821.69324,1450.0,0.0147705078125,-0.01910400390625,1.01953125,-0.994415283203125,-0.79254150390625,0.76263427734375,0.851044512791169,0.7591865150323057,0.654755263095153,0.5499577998712538,11.948863934387145,11.005595212550366,13.126141668454808,10.9728498199938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.38744,1.0,1.0,1.0,1.0,1.0,10.14,
2025-10-24 13:24:14.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:14.372,0.46668223,-0.0872646,0.03512818,0.50776815,0.29507157,-0.022341577,-0.29430202,0.3046258,0.47374716,0.3223887,-0.11076779,0.38851523,0.5058072,-0.0010319636,0.060168043,0.5093432,0.11891794,0.060408562,0.12756988,0.18099564,738.2317,746.19727,744.6042,734.3374,891.7018,901.6145,872.14185,1450.0,0.02838134765625,-0.0059814453125,1.029541015625,-1.921539306640625,-1.891632080078125,0.64300537109375,0.848236892926114,0.7571113177407434,0.6507879741554013,0.5465398278616217,11.947032877953411,11.008891114131083,13.125836492382518,10.973307584102232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.57809,1.0,1.0,1.0,1.0,1.0,10.13,
2025-10-24 13:24:14.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-10-24 13:24:14.880,0.40858674,-0.13037753,-0.12078912,0.3623402,0.27338976,0.023041587,-0.2988029,0.23151854,0.6530379,0.32804704,0.009832569,0.5318071,0.5957756,0.12561564,0.102600284,0.5713848,0.18087746,0.14203097,0.15591167,0.215415,740.9754,742.2145,740.00183,744.0731,881.61206,879.39935,858.6004,1450.0,0.0247802734375,-0.0147705078125,1.021484375,-1.622467041015625,-0.5682373046875,-0.2691650390625,0.8479622344610542,0.7581183987792957,0.6489569177216699,0.5459599933242734,11.954662279760628,11.017100350475646,13.129223946784922,10.977030732184154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.77096,1.0,1.0,1.0,1.0,1.0,10.13,
